"id","name","code","user_type_id/id","group_id/id","chart_template_id/id","tax_ids/id","reconcile","note"
"pcg_1011","Capital souscrit, non appelé","1011","account.data_account_type_equity","l10n_ohada.gc_101","l10n_ohada.ohada_chart_template",,,
"pcg_1012","Capital souscrit, appelé, non versé","1012","account.data_account_type_equity","l10n_ohada.gc_101","l10n_ohada.ohada_chart_template",,,
"pcg_1013","Capital souscrit, appelé, versé, non amorti","1013","account.data_account_type_equity","l10n_ohada.gc_101","l10n_ohada.ohada_chart_template",,,
"pcg_1014","Capital souscrit, appelé, versé, amorti","1014","account.data_account_type_equity","l10n_ohada.gc_101","l10n_ohada.ohada_chart_template",,,
"pcg_1018","Capital souscrit soumis à des conditions particulières","1018","account.data_account_type_equity","l10n_ohada.gc_101","l10n_ohada.ohada_chart_template",,,
"pcg_1021","Dotation initiale","1021","account.data_account_type_equity","l10n_ohada.gc_102","l10n_ohada.ohada_chart_template",,,
"pcg_1022","Dotations complémentaires","1022","account.data_account_type_equity","l10n_ohada.gc_102","l10n_ohada.ohada_chart_template",,,
"pcg_1028","Autres dotations","1028","account.data_account_type_equity","l10n_ohada.gc_102","l10n_ohada.ohada_chart_template",,,
"pcg_103","CAPITAL PERSONNEL","103","account.data_account_type_equity","l10n_ohada.gc_10","l10n_ohada.ohada_chart_template",,,
"pcg_1041","Apports temporaires","1041","account.data_account_type_equity","l10n_ohada.gc_104","l10n_ohada.ohada_chart_template",,,
"pcg_1042","Opérations courantes","1042","account.data_account_type_equity","l10n_ohada.gc_104","l10n_ohada.ohada_chart_template",,,
"pcg_1043","Rémunérations, impôts et autres charges personnelles","1043","account.data_account_type_equity","l10n_ohada.gc_104","l10n_ohada.ohada_chart_template",,,
"pcg_1047","Prélèvements d’autoconsommation","1047","account.data_account_type_equity","l10n_ohada.gc_104","l10n_ohada.ohada_chart_template",,,
"pcg_1048","Autres prélèvements","1048","account.data_account_type_equity","l10n_ohada.gc_104","l10n_ohada.ohada_chart_template",,,
"pcg_1051","Primes d'émission","1051","account.data_account_type_equity","l10n_ohada.gc_105","l10n_ohada.ohada_chart_template",,,
"pcg_1052","Primes d'apport","1052","account.data_account_type_equity","l10n_ohada.gc_105","l10n_ohada.ohada_chart_template",,,
"pcg_1053","Primes de fusion","1053","account.data_account_type_equity","l10n_ohada.gc_105","l10n_ohada.ohada_chart_template",,,
"pcg_1054","Primes de conversion","1054","account.data_account_type_equity","l10n_ohada.gc_105","l10n_ohada.ohada_chart_template",,,
"pcg_1058","Autres primes","1058","account.data_account_type_equity","l10n_ohada.gc_105","l10n_ohada.ohada_chart_template",,,
"pcg_1061","Écarts de réévaluation légale","1061","account.data_account_type_equity","l10n_ohada.gc_106","l10n_ohada.ohada_chart_template",,,
"pcg_1062","Écarts de réévaluation libre","1062","account.data_account_type_equity","l10n_ohada.gc_106","l10n_ohada.ohada_chart_template",,,
"pcg_109","ACTIONNAIRES, CAPITAL SOUSCRIT, NON APPELÉ","109","account.data_account_type_equity","l10n_ohada.gc_10","l10n_ohada.ohada_chart_template",,,
"pcg_111","RÉSERVE LÉGALE","111","account.data_account_type_equity","l10n_ohada.gc_11","l10n_ohada.ohada_chart_template",,,
"pcg_112","RÉSERVES STATUTAIRES OU CONTRACTUELLES","112","account.data_account_type_equity","l10n_ohada.gc_11","l10n_ohada.ohada_chart_template",,,
"pcg_1131","Réserves de plus-values nettes à long terme","1131","account.data_account_type_equity","l10n_ohada.gc_113","l10n_ohada.ohada_chart_template",,,
"pcg_1133","Réserves consécutives à l'octroi de subventions d'investissement","1133","account.data_account_type_equity","l10n_ohada.gc_113","l10n_ohada.ohada_chart_template",,,
"pcg_1138","Autres réserves réglementées","1138","account.data_account_type_equity","l10n_ohada.gc_113","l10n_ohada.ohada_chart_template",,,
"pcg_1181","Réserves facultatives","1181","account.data_account_type_equity","l10n_ohada.gc_118","l10n_ohada.ohada_chart_template",,,
"pcg_1188","Réserves diverses","1188","account.data_account_type_equity","l10n_ohada.gc_118","l10n_ohada.ohada_chart_template",,,
"pcg_121","REPORT À NOUVEAU CRÉDITEUR","121","account.data_account_type_current_liabilities","l10n_ohada.gc_12","l10n_ohada.ohada_chart_template",,,
"pcg_1291","Perte nette à reporter","1291","account.data_account_type_current_liabilities","l10n_ohada.gc_129","l10n_ohada.ohada_chart_template",,,
"pcg_1292","Perte - Amortissements réputés différés","1292","account.data_account_type_current_liabilities","l10n_ohada.gc_129","l10n_ohada.ohada_chart_template",,,
"pcg_1301","Résultat en instance d'affectation : Bénéfice","1301","account.data_unaffected_earnings","l10n_ohada.gc_130","l10n_ohada.ohada_chart_template",,,
"pcg_1309","Résultat en instance d'affectation : Perte","1309","account.data_account_type_current_liabilities","l10n_ohada.gc_130","l10n_ohada.ohada_chart_template",,,
"pcg_131","RÉSULTAT NET : BÉNÉFICE","131","account.data_account_type_current_liabilities","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_1321","Marge brute sur marchandises","1321","account.data_account_type_equity","l10n_ohada.gc_132","l10n_ohada.ohada_chart_template",,,
"pcg_1322","Marge brute sur matières","1322","account.data_account_type_equity","l10n_ohada.gc_132","l10n_ohada.ohada_chart_template",,,
"pcg_133","VALEUR AJOUTÉE (V.A.)","133","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_134","EXCÉDENT BRUT D'EXPLOITATION (E.B.E.)","134","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_135","RÉSULTAT D'EXPLOITATION (R.E.)","135","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_136","RÉSULTAT FINANCIER (R.F.)","136","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_137","RÉSULTAT DES ACTIVITÉS ORDINAIRES (R.A.O.)","137","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_138","RÉSULTAT HORS ACTIVITÉS ORDINAIRES (R.H.A.O.)","138","account.data_account_type_equity","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_1381","Résultat de fusion","1381","account.data_account_type_equity","l10n_ohada.gc_138","l10n_ohada.ohada_chart_template",,,
"pcg_1382","Résultat d'apport partiel d'actif","1382","account.data_account_type_equity","l10n_ohada.gc_138","l10n_ohada.ohada_chart_template",,,
"pcg_1383","Résultat de scission","1383","account.data_account_type_equity","l10n_ohada.gc_138","l10n_ohada.ohada_chart_template",,,
"pcg_1384","Résultat de liquidation","1384","account.data_account_type_equity","l10n_ohada.gc_138","l10n_ohada.ohada_chart_template",,,
"pcg_139","RÉSULTAT NET : PERTE","139","account.data_account_type_current_liabilities","l10n_ohada.gc_13","l10n_ohada.ohada_chart_template",,,
"pcg_141","SUBVENTIONS D'ÉQUIPEMENT","141","account.data_account_type_current_liabilities","l10n_ohada.gc_14","l10n_ohada.ohada_chart_template",,,
"pcg_1411","État","1411","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1412","Régions","1412","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1413","Départements","1413","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1414","Communes et collectivités publiques décentralisées","1414","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1415","Entreprises publiques ou mixtes","1415","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1416","Entreprises et organismes privés","1416","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1417","Organismes internationaux","1417","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_1418","Autres","1418","account.data_account_type_current_liabilities","l10n_ohada.gc_141","l10n_ohada.ohada_chart_template",,,
"pcg_148","AUTRES SUBVENTIONS D'INVESTISSEMENT","148","account.data_account_type_current_liabilities","l10n_ohada.gc_14","l10n_ohada.ohada_chart_template",,,
"pcg_151","AMORTISSEMENTS DÉROGATOIRES","151","account.data_account_type_current_liabilities","l10n_ohada.gc_15","l10n_ohada.ohada_chart_template",,,
"pcg_152","PLUS-VALUES DE CESSION À RÉINVESTIR","152","account.data_account_type_current_liabilities","l10n_ohada.gc_15","l10n_ohada.ohada_chart_template",,,
"pcg_1531","Fonds National","1531","account.data_account_type_current_liabilities","l10n_ohada.gc_153","l10n_ohada.ohada_chart_template",,,
"pcg_1532","Prélèvement pour le Budget","1532","account.data_account_type_current_liabilities","l10n_ohada.gc_153","l10n_ohada.ohada_chart_template",,,
"pcg_154","PROVISION SPÉCIALE DE RÉÉVALUATION","154","account.data_account_type_current_liabilities","l10n_ohada.gc_15","l10n_ohada.ohada_chart_template",,,
"pcg_1551","Reconstitution des gisements miniers et pétroliers","1551","account.data_account_type_current_liabilities","l10n_ohada.gc_155","l10n_ohada.ohada_chart_template",,,
"pcg_1561","Hausse de prix","1561","account.data_account_type_current_liabilities","l10n_ohada.gc_156","l10n_ohada.ohada_chart_template",,,
"pcg_1562","Fluctuation des cours","1562","account.data_account_type_current_liabilities","l10n_ohada.gc_156","l10n_ohada.ohada_chart_template",,,
"pcg_157","PROVISIONS POUR INVESTISSEMENT","157","account.data_account_type_current_liabilities","l10n_ohada.gc_15","l10n_ohada.ohada_chart_template",,,
"pcg_158","AUTRES PROVISIONS ET FONDS RÉGLEMENTES","158","account.data_account_type_current_liabilities","l10n_ohada.gc_15","l10n_ohada.ohada_chart_template",,,
"pcg_1611","Emprunts obligataires ordinaires","1611","account.data_account_type_current_liabilities","l10n_ohada.gc_161","l10n_ohada.ohada_chart_template",,,
"pcg_1612","Emprunts obligataires convertibles en actions","1612","account.data_account_type_current_liabilities","l10n_ohada.gc_161","l10n_ohada.ohada_chart_template",,,
"pcg_1613","Emprunts obligataires remboursables en actions","1613","account.data_account_type_current_liabilities","l10n_ohada.gc_161","l10n_ohada.ohada_chart_template",,,
"pcg_1618","Autres emprunts obligataires","1618","account.data_account_type_current_liabilities","l10n_ohada.gc_161","l10n_ohada.ohada_chart_template",,,
"pcg_162","EMPRUNTS ET DETTES AUPRÈS DES ÉTABLISSEMENTS DE CRÉDIT","162","account.data_account_type_current_liabilities","l10n_ohada.gc_16","l10n_ohada.ohada_chart_template",,,
"pcg_163","AVANCES REÇUES DE L'ÉTAT","163","account.data_account_type_current_liabilities","l10n_ohada.gc_16","l10n_ohada.ohada_chart_template",,,
"pcg_164","AVANCES REÇUES ET COMPTES COURANTS BLOQUÉS","164","account.data_account_type_current_liabilities","l10n_ohada.gc_16","l10n_ohada.ohada_chart_template",,,
"pcg_1651","Dépôts","1651","account.data_account_type_current_liabilities","l10n_ohada.gc_165","l10n_ohada.ohada_chart_template",,,
"pcg_1652","Cautionnements","1652","account.data_account_type_current_liabilities","l10n_ohada.gc_165","l10n_ohada.ohada_chart_template",,,
"pcg_166","INTÉRÊTS COURUS","166","account.data_account_type_current_liabilities","l10n_ohada.gc_16","l10n_ohada.ohada_chart_template",,,
"pcg_1661","sur emprunts obligataires","1661","account.data_account_type_current_liabilities","l10n_ohada.gc_166","l10n_ohada.ohada_chart_template",,,
"pcg_1662","sur emprunts et dettes auprès des établissements de crédit","1662","account.data_account_type_current_liabilities","l10n_ohada.gc_166","l10n_ohada.ohada_chart_template",,,
"pcg_1663","sur avances reçues de l'État","1663","account.data_account_type_current_liabilities","l10n_ohada.gc_166","l10n_ohada.ohada_chart_template",,,
